"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2938,226,"THA","Thailand",25,"Nakhon Nayok","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E04><U+0E23><U+0E19><U+0E32><U+0E22><U+0E01>","Nakon Nayok","Changwat","Province"
2939,226,"THA","Thailand",26,"Nakhon Pathom","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07><U+0E19><U+0E04><U+0E23><U+0E1B><U+0E10><U+0E21>","","Changwat","Province"
2940,226,"THA","Thailand",27,"Nakhon Phanom","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E04><U+0E23><U+0E1E><U+0E19><U+0E21>","","Changwat","Province"
2941,226,"THA","Thailand",28,"Nakhon Ratchasima","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E04><U+0E23><U+0E23><U+0E32><U+0E0A><U+0E2A><U+0E35><U+0E21><U+0E32>","Khorat|Nagara Rajasima|Nakaun Rachasima","Changwat","Province"
2942,226,"THA","Thailand",29,"Nakhon Sawan","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E04><U+0E23><U+0E2A><U+0E27><U+0E23><U+0E23><U+0E04><U+0E4C>","","Changwat","Province"
2943,226,"THA","Thailand",30,"Nakhon Si Thammarat","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E04><U+0E23><U+0E28><U+0E23><U+0E35><U+0E18><U+0E23><U+0E23><U+0E21><U+0E23><U+0E32><U+0E0A>","Nakhon Thammarat|Nagara Sridharmaraj|Nakhon Sri Thammarat|Nakhornsrithamrat|Nakornsrithamaraj","Changwat","Province"
2944,226,"THA","Thailand",31,"Nan","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E48><U+0E32><U+0E19>","","Changwat","Province"
2945,226,"THA","Thailand",32,"Narathiwat","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E23><U+0E32><U+0E18><U+0E34><U+0E27><U+0E32><U+0E2A>","","Changwat","Province"
2946,226,"THA","Thailand",33,"Nong Bua Lam Phu","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2B><U+0E19><U+0E2D><U+0E07><U+0E1A><U+0E31><U+0E27><U+0E25><U+0E33><U+0E20><U+0E39>","Nong Bua Lamphu","Changwat","Province"
2947,226,"THA","Thailand",34,"Nong Khai","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E2B><U+0E19><U+0E2D><U+0E07><U+0E04><U+0E32><U+0E22>","","Changwat","Province"
2948,226,"THA","Thailand",35,"Nonthaburi","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E19><U+0E19><U+0E17><U+0E1A><U+0E38><U+0E23><U+0E35>","","Changwat","Province"
2949,226,"THA","Thailand",36,"Pathum Thani","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1B><U+0E17><U+0E38><U+0E21><U+0E18><U+0E32><U+0E19><U+0E35>","","Changwat","Province"
2950,226,"THA","Thailand",37,"Pattani","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1B><U+0E31><U+0E15><U+0E15><U+0E32><U+0E19><U+0E35>","","Changwat","Province"
2951,226,"THA","Thailand",38,"Phangnga","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1E><U+0E31><U+0E07><U+0E07><U+0E32>","","Changwat","Province"
2952,226,"THA","Thailand",39,"Phatthalung (Songkhla Lake)","","","Water body","Lake"
2953,226,"THA","Thailand",40,"Phatthalung","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1E><U+0E31><U+0E17><U+0E25><U+0E38><U+0E07>","","Changwat","Province"
2954,226,"THA","Thailand",41,"Phayao","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E1E><U+0E30><U+0E40><U+0E22><U+0E32>","","Changwat","Province"
2955,226,"THA","Thailand",42,"Phetchabun","<U+0E2D><U+0E33><U+0E40><U+0E20><U+0E2D><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07><U+0E40><U+0E1E><U+0E0A><U+0E23><U+0E1A><U+0E39><U+0E23><U+0E13><U+0E4C>","","Changwat","Province"
2956,226,"THA","Thailand",43,"Phetchaburi","<U+0E08><U+0E31><U+0E07><U+0E2B><U+0E27><U+0E31><U+0E14><U+0E40><U+0E1E><U+0E0A><U+0E23><U+0E1A><U+0E38><U+0E23><U+0E35>","Phetcha Buri|Bejraburi|Petchburi|Phet Buri|Tetchburit","Changwat","Province"
